,index,col0,col1,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17,col18
0,20190125,20190125,17300,2,200,1.17,1680,-3535,23361,-20889,-12632,-2772,-5485,0,0,0,0,0,1063,0
1,20190124,20190124,-17100,5,-150,-0.87,2142,3537,17388,-20272,4,0,-12158,0,0,0,-8118,0,-653,0
2,20190123,20190123,-17250,5,-150,-0.86,1429,2374,5172,-2871,5,-3536,6000,0,0,0,-5340,0,-4675,0
3,20190122,20190122,-17400,5,-400,-2.25,2132,5580,-17309,10729,-1194,7253,1967,0,2703,0,0,0,1000,0
4,20190121,20190121,-17800,5,-50,-0.28,3177,-6339,4343,2022,5,7236,13422,0,0,0,-18641,0,0,-26
5,20190118,20190118,17850,3,0,0.0,5103,11247,-22520,15433,12978,-12000,8367,0,0,4875,1213,0,-1980,-2180
6,20190117,20190117,17850,2,450,2.59,5503,-24022,2824,19793,10213,-292,14392,35,0,0,-4555,0,1297,108
7,20190116,20190116,17400,2,200,1.16,4474,-36255,25887,12955,1709,7735,28374,28,0,-1194,-23697,0,-2428,-159
8,20190115,20190115,17200,2,100,0.58,3699,-9686,15795,-5508,69,-8783,425,0,0,10000,-7219,0,-849,248
9,20190114,20190114,17100,2,150,0.88,2613,-35984,14192,21316,231,13496,8368,0,0,0,-779,0,756,-280
10,20190111,20190111,16950,2,400,2.42,2062,-36947,23909,12004,156,-2474,14322,0,0,0,0,0,1001,33
11,20190110,20190110,-16550,5,-200,-1.19,4800,76757,-36111,-40963,-729,-638,-16867,0,0,-19343,-3386,0,92,225
12,20190109,20190109,-16750,5,-300,-1.76,2095,46694,-8263,-39602,92,-323,-6691,0,0,-24301,-8379,0,-999,2170
13,20190108,20190108,-17050,5,-200,-1.16,2326,-9425,-14246,23711,-3641,0,14697,0,0,688,11967,0,0,-40
14,20190107,20190107,17250,2,350,2.07,3195,-4584,-16152,19736,-12,5757,10770,0,0,0,3221,0,1000,0
15,20190104,20190104,16900,2,850,5.3,3553,-37657,6542,29551,-2,20741,8468,0,0,177,167,0,1500,64
16,20190103,20190103,-16050,5,-350,-2.13,3103,-8869,3125,6386,-270,9594,6011,0,0,0,-8949,0,-627,-15
17,20190102,20190102,-16400,5,-700,-4.09,4987,-2293,4333,-2539,-174,9304,-3834,5789,0,-14627,1003,0,770,-271
18,20181228,20181228,17100,2,50,0.29,2125,9259,-5172,-5687,-2135,2475,-12405,0,0,-500,6878,0,1600,0
19,20181227,20181227,-17050,5,-400,-2.29,5194,38172,-75789,36254,1161,25314,8915,0,0,17930,-17066,0,1060,303
20,20181226,20181226,17450,3,0,0.0,7195,23669,-64102,41784,-4,19588,-500,0,0,23498,-798,0,-1541,190
21,20181224,20181224,17450,2,1050,6.4,10149,-29034,2466,30957,-20,28070,-1000,0,-7380,10606,681,0,-4212,-177
22,20181221,20181221,16400,3,0,0.0,2625,20703,-4010,-17476,-6,-3000,3881,0,0,-18351,0,0,618,165
23,20181220,20181220,-16400,5,-450,-2.67,2622,17412,-40121,24439,7789,11221,3600,10,0,-10000,11819,0,-1670,-60
24,20181219,20181219,16850,2,950,5.97,4454,-63574,25528,34747,1156,2988,2309,20,2819,-1100,26555,0,3255,44
25,20181218,20181218,-15900,5,-650,-3.93,3609,-1962,-18371,20333,0,15683,7077,0,0,0,-2427,0,0,0
26,20181217,20181217,16550,2,350,2.16,4771,11860,-33890,21721,880,7412,11235,0,5197,-21654,18651,0,309,0
27,20181214,20181214,-16200,5,-800,-4.71,4028,40146,-9052,-32384,-1313,0,521,0,0,-14882,-16710,0,0,1290
28,20181213,20181213,17000,3,0,0.0,3396,52228,-20674,-34716,-904,-1345,-2366,0,-3270,-39783,12952,0,3152,10
29,20181212,20181212,17000,2,800,4.94,3113,-15072,25579,-9616,-186,1023,1682,0,0,-4539,-7596,0,-891,0
30,20181211,20181211,-16200,5,-450,-2.7,3812,8372,32624,-40466,-251,0,-37056,0,0,0,-3159,0,-530,0
31,20181210,20181210,-16650,5,-1150,-6.46,7334,146684,-16543,-131586,-17856,0,-16477,0,0,-34263,-62990,0,1003,442
32,20181207,20181207,17800,2,700,4.09,4363,-43997,23501,18197,-1469,0,25908,0,-8975,5270,-15137,12600,2299,0
